composition_label,n_positions,D_act,D_coke,D_rem,D_CO2,z
Co19Ni18Pd30Rh19Ru22,8,1.6902234479784966,2.1664413043430875,-1.044748067855835,0.8751398324966432,1.18658860644836
Co20Ni18Pd26Rh26Ru18,8,1.3175776302814484,1.7197463512420657,-1.1635059515635173,1.0638011864253454,1.1851504939892612
Co16Ni22Pd27Rh23Ru20,8,1.6237890720367432,1.9468956334250314,-1.205122675214495,0.9329398359571185,1.1815968653387912
Co16Ni27Pd15Rh19Ru31,8,2.300121132284403,2.0875428915023804,-1.3163326740264891,1.366806650161743,1.1795638943369327
Co21Ni25Pd18Rh21Ru23,8,1.7046423740684986,1.9454649857112338,-1.2723700659615653,0.9179962873458862,1.1787381477707057
Co21Ni16Pd20Rh21Ru30,8,1.7877507358789444,1.9472013711929321,-1.3397945761680603,0.9061312675476075,1.1775467277142817
Co21Ni22Pd25Rh21Ru19,8,1.6065348982810974,2.5836753845214844,-0.9523429870605469,0.034713223576545715,1.1767943798453968
Co19Ni12Pd29Rh25Ru23,8,1.8998764678835869,1.8314004421234131,-1.347604751586914,1.2587417193821497,1.1722646433864103
Co19Ni18Pd20Rh26Ru25,8,1.7866485118865967,2.144410411516825,-1.296590805053711,0.5358242307390485,1.1668491476164058
Co19Ni27Pd23Rh24Ru15,8,1.4794254004955292,1.6632426466260637,-1.0216148240225655,1.5443415244420369,1.1605627795963025
Co21Ni15Pd25Rh21Ru26,8,1.994403176009655,2.1124945481618247,-1.3500709136327107,0.7617940425872802,1.159709417967333
Co13Ni21Pd26Rh25Ru23,8,1.6772306449711323,1.7586458580834525,-1.1037518637520927,1.4723647832870483,1.1592295292406238
Co17Ni15Pd23Rh25Ru28,8,2.0194827914237976,2.1061511039733887,-1.3341532945632935,0.8289809908185687,1.1579039284051573
Co33Ni15Pd19Rh19Ru22,8,1.995706021785736,1.767867883046468,-1.604119062423706,1.0003025531768797,1.1538944572424232
Co21Ni20Pd27Rh15Ru25,8,2.1142717227339745,2.152074893315633,-1.2028201421101887,1.0730015754699707,1.1532846581323564
Co24Ni24Pd21Rh25Ru14,8,1.5667672529816628,2.040273802621024,-1.152254581451416,0.6426208972930908,1.1532547679507166
Co20Ni15Pd23Rh22Ru28,8,1.3366155326366425,1.677816104888916,-0.7239474654197692,1.8022499765668596,1.1524520961839995
Co27Ni18Pd21Rh26Ru16,8,1.8136812672019005,2.114313745498657,-1.050523281097412,0.9583498239517212,1.1419758463536145
Co17Ni28Pd19Rh22Ru22,8,3.0114255882799625,2.5614094734191895,-1.672741413116455,0.6012494904654366,1.1412059717811636
Co19Ni25Pd20Rh22Ru22,8,2.1357494443655014,2.259216206414359,-1.338948925336202,0.5984265463692802,1.14066206639459
Co18Ni24Pd24Rh16Ru26,8,2.33902083709836,2.5284043550491333,-1.091268539428711,0.7541543245315552,1.1400388175521436
Co24Ni17Pd32Rh19Ru16,8,2.0834507942199707,1.9845353960990906,-1.556962251663208,0.7040005683898926,1.1396964202061164
Co16Ni20Pd21Rh29Ru22,8,2.026448719203472,2.101383606592814,-1.2012524604797363,1.0009105546133858,1.1388879806028749
Co18Ni25Pd23Rh21Ru21,8,1.4183761328458786,2.075139331817627,-1.0974770545959474,0.3810456820896694,1.1325637401147408
Co13Ni23Pd24Rh26Ru22,8,2.5795890130102634,2.013436714808146,-1.7684174060821531,0.9175628934587751,1.1305529305745745
Co21Ni17Pd23Rh22Ru25,8,2.6157502494752407,2.1104387442270913,-1.7631415128707886,0.7676706314086915,1.1277509592454895
Co19Ni23Pd26Rh18Ru22,8,1.4724333807826042,1.9367369583674838,-1.1083040237426758,0.6800950765609741,1.1235129019147738
Co19Ni26Pd26Rh21Ru16,8,2.027200572192669,2.0897111892700195,-1.191198945045471,0.9569305419921873,1.117613336946721
Co18Ni24Pd28Rh21Ru17,8,1.9546702951192856,2.2772161960601807,-1.311891317367554,0.26556377410888665,1.1167206410818713
Co18Ni17Pd31Rh23Ru19,8,1.6349642053246498,1.7124808856419154,-1.0187722047170003,1.468742949622018,1.1130767687093952
Co21Ni22Pd22Rh26Ru17,8,1.695872113108635,1.9100728432337442,-0.9253828128178915,1.3099087476730347,1.1125585098455069
Co21Ni22Pd20Rh24Ru21,8,2.1522120907902718,2.4927934408187866,-1.2558157444000244,0.1740208864212037,1.1118711896988573
Co19Ni19Pd24Rh25Ru21,8,1.818696454167366,2.058998680114746,-1.0515332698822022,0.9531446933746339,1.1116871673449804
Co16Ni17Pd31Rh26Ru18,8,1.9824113622307777,1.8345709187643868,-1.4629433155059814,0.9193873746054513,1.1115052588177183
Co18Ni22Pd28Rh21Ru19,8,1.9807011783123016,2.1025162764957974,-1.1590327421824138,0.8901889664786203,1.109426702408286
Co24Ni22Pd26Rh21Ru15,8,1.9961936548352242,2.1453563570976257,-1.4722575843334198,0.27147191762924194,1.1065945377698623
Co21Ni26Pd24Rh18Ru19,8,1.7801107317209244,1.8018315315246582,-1.0920713901519776,1.318221131960551,1.1032170804416674
